"ident","age","cohes","esteem","grades","sattach","stress"
5,11,61.2560005187988,32,15,21,0
6,14,49,33,17,22,0
10,14,35,27,15,28,0
15,11,74,34,14,33,0
16,14,58,29,15,28,0
25,14,39,26,8,17,2
40,11,64,29,18,26,0
45,13,49,33,13,23,1
60,14,54,30,20,25,0
80,12,47.3030014038086,35.3240013122559,15,23,0
85,14,60,24,17.8320007324219,17,0
90,13,50,31,16,26,2
95,13,70,31,16,32,1
100,13,42,18.8729991912842,12,19,2
105,13,65,40,15,32,0
115,11,50,23,17,20,4
116,13,30,32,13,25,2
116,14,46,33,13,20,4
120,14,66,36,20,28,0
135,14,66,32,19,33,0
140,12,48,32,19,28,1
141,14,58,29,16,29,0
145,14,55,35,16,23,1
155,13,57,34,13,34,1
160,14,36,26,14,26,0
165,14,42,33,20,27,0
170,11,44,27,13,26,0
171,13,58,30,16,28,0
190,14,44,31,19,25,1
195,14,58,33,19,21,0
200,14,44,31,14,20,0
210,13,53,30,18,31,0
215,12,65.8970031738281,35,19,8.22799968719482,0
216,14,51,31,18,33,0
225,11,41,35,16,29,0
226,13,53,31,8,30,0
230,13,54,32,15,30,0
235,13,41,35,16,32,1
245,13,50,37,14,20,0
250,14,56,32,16,18,3
260,14,59,34,20,30,2
265,13,37,37,14,19,0
270,13,59,35,15,20,3
300,13,50,37,19,30,1
305,14,26,22,11,11,9
310,14,71,37,20,35,2
315,13,69,36,15,16,4
320,13,34,40,14,17,3
330,13,63,29,15,32,0
335,12,69.9079971313477,32,20,33,1
340,13,37,34,12,24,3
345,13,42,33,16,27,4
350,13,71,34,16,26,3
355,12,49,33,15,32,0
356,14,57,29,12,23,0
365,12,43,33,9,27,2
370,12,52,29.4829998016357,17,22,3
375,13,26,25,14,13,4
380,12,72,40,19,36,4
390,13,60,34,12,28,0
405,12,67,36,17,30,2
410,14,63,36,20,29,2
415,12,47,27,14,26,2
420,12,65,36.0810012817383,20,35,0
425,13,53,30,17,32,1
426,14,57,30.3239994049072,10,20,1
430,11,39,30,13,22,0
435,12,55,35,19,30,1
436,14,59,36,18,25,2
440,12,38,36,16,29,5
445,11,34,24,12,19,1
446,13,63,31,20,24,0
450,12,58,38,16,28,2
455,14,59,32,14,32,0
470,12,49,28,17,21,0
471,14,63,30,17,27,2
475,12,23.2560005187988,34,12,16,1
480,12,46,27,12,22,0
485,12,62,39,12.8319997787476,35,0
490,11,43,29,20,30,1
495,12,64,31,19,31,2
496,13,73,40,18,36,1
500,11,64,38,13,29.7360000610352,1
501,14,66,34,16,20,0
515,12,39,24,20,19,0
516,13,61,28,20,28,1
520,13,69,37,20,31,3
525,13,66,30,12,34,0
535,13,56,27,14,29,2
540,11,51,25,12,20,1
541,13,63,27.5750007629395,17,24,0
550,13,60,34,12,28,0
575,11,45,31,10,30.4869995117188,1
576,13,40,32,19,26.4869995117188,1
576,14,36,33,10,23,2
585,13,54,31,7,29,3
590,11,50,33,13,32,5
591,12,47,32,14,32,5
595,12,53,35,12,22.7360000610352,3
610,13,50,28,16,18,6
625,13,33,25,15.8319997787476,14,4
635,11,46,29,17,36,0
640,12,64,37,17,34,0
645,12,63,38,19,31,0
646,13,61,31,12,20,0
650,13,60,32,15,30,1
655,14,67,33,12,26,0
660,12,38,32,14,19,5
670,13,44,29,17,31,0
675,13,58,30,13,30,0
680,12,74,29,18,29,0
681,14,47,27,12,21,0
685,14,72,37,13,30,3
690,13,47.9879989624023,33,16,21,7
695,11,69,33,18,30,1
710,11,53,36,18,33,2
711,11,53,24,18,21,3
715,12,53,32,7,32,1
730,11,49,35,17,36,2
735,11,32,34,20,30,1
740,13,47,36,13,25,0
745,14,52,29,13,22,1
750,12,48,28,11,30,6
751,12,65,30,16,32,3
755,11,64,31,18,36,1
760,11,59,31,15,29,5
765,12,55,35,15,33,0
770,11,45,30,17,33,1
775,12,59,31,12,32,0
776,13,42,39,17,28,0
780,11,41,28,9,15,5
781,14,30,27,11,12,5
785,13,58,31,18,28,5
786,14,24,28,19,35,9
790,12,56,35,20,21,2
791,14,47,27,20,23,4
795,14,55,38,18,33,3
800,11,62,31,10,36,1
805,13,69,39,15,30,0
810,11,66,36,20,33,2
820,11,58,37,18,34,1
821,14,54,34,18,28,4
825,11,31,26,12,28,4
826,13,50,33,11,29,5
830,11,49.9879989624023,36,18,34,0
845,11,56,30,12,24,6
850,13,52.3030014038086,25.7679996490479,20,26,1
855,12,49,39,16,35,0
860,12,62,40,20,36,0
865,14,45.5970001220703,28,12,26,6
875,11,49,30,13,22,0
880,11,60,32,10,20,4
885,11,51,31,14.7550001144409,21,0
890,11,56,26,11,31,3
895,11,55,29,13,25,3
900,12,61,26,15,32,5
905,14,64,27,16,19,4
910,12,40,32,15,23,1
915,12,47,26.3239994049072,11.6560001373291,27,5
920,12,61,39,20,31,1
930,12,56,32,14,32,3
940,11,49,31,11,22,3
941,12,44,35,8,33,5
950,12,64,35,10,32,0
955,13,46,32,15,32,0
960,12,60,35,17,26,0
961,14,65,33,20,34,0
965,13,66,31,20,26,0
975,12,60,33,19,29.7360000610352,1
985,12,65,31,12,29,2
990,12,47,30,15,19,0
991,12,42,31,14,25,3
995,11,64,36,18,30,0
996,12,65,34,19,29,0
1000,13,47,34,14,17,2
1005,12,58,31,17,32,0
1010,12,60,37,13,25,0
1020,13,26,26,11,22,0
1025,12,52,34,15,29,2
1026,13,48,33,17,32,1
1030,14,62,39,13,35,2
1040,11,69,30,12,31,0
1041,13,64,29,13,30,0
1046,13,53,35,13,26,0
1050,14,60,35,20,26,0
1055,14,60,31,17,25,1
1060,13,56,33,17,27,0
1065,14,33,24,18,25,2
1080,12,46,31,17,33,2
1081,14,36,31,19,32,1
1085,13,57,36,20,22,0
1090,12,33,31,12,23,1
1095,13,43,28,11,22,1
1100,12,44,38,17,20,2
1105,11,57,39,17,35,2
1106,13,66,33,20,35,2
1110,13,59,32.3240013122559,20,25,0
1115,12,36,34,14,21,2
1120,12,50,28,12.8319997787476,26,0
1121,14,51.048999786377,32,18,30,3
1125,12,56,33,14.6560001373291,28,0
1130,11,40,28,17,20,1
1135,14,63,40,12,35,0
1140,14,43,28,15.8319997787476,29,1
1145,13,30,26,7,21,4
1150,12,48,33,13,32,0
1151,13,55,29,12,32,0
1155,13,52,28,10,24,2
1160,13,36,28,15,28,1
1180,11,65,27,11,22,2
1181,13,67,34,18,36,6
1190,14,66,28,16.8320007324219,16,5
1195,11,44.640998840332,27,12,26,2
1196,12,60,37,18,30,2
1205,13,62,31,19,32,1
1210,14,39,30,13,30,0
1215,11,63,30,13,25,0
1216,11,70,34,14,29,0
1220,12,63,29,20,32,2
1225,12,65,39,19,36,0
1226,14,68,37,17,32,0
1240,12,74,38,16,33,0
1241,12,68,39,13,34,1
1245,14,50,29.0919990539551,10,29,5
1250,11,58,30,15.8319997787476,33,1
1255,14,49,29,19,22,1
1260,12,66,38,12.7379999160767,17,1
1261,14,63,37,20,33,0
1265,14,72,35,15,30,2
1270,13,60.7449989318848,36.3240013122559,15,24,1
1275,11,61,36,18,29,0
1276,13,71,40,12,24,0
1280,13,43,24,10.8319997787476,12,0
1295,12,58,38,15,33,0
1300,12,46,34,12,20,1
1310,12,73,36,15,30,2
1311,13,57,37,19,34,0
1315,11,75,35.7680015563965,18,30,0
1316,14,65,32.4830017089844,12,23,0
1320,13,64,31,16,25,0
1321,14,60,29,17,22,0
1325,12,41,21,18,24,9
1335,12,48,32,15,31,0
1340,12,53,33,17,26,0
1345,13,63,32,19,32,0
1360,13,53,40,20,26,1
1361,14,69,34,20,31,1
1365,12,55.5970001220703,31.3239994049072,18,30,0
1366,14,56,35,12,23,0
1375,12,64,31,15,30,5
1380,14,60,31,8.6560001373291,28,4
1390,11,53,26,3.65599989891052,8.22799968719482,0
1391,14,58,38,12,25,2
1395,13,57,30,12,11,0
1400,14,48,23,15,20,6
1405,13,35.3110008239746,33,12.6560001373291,14,5
1415,11,61.3110008239746,38,16,33,0
1430,12,59,31,16,30,0
1431,14,55,33,12,18,0
1435,12,36,30,11,28,0
1440,11,46.8969993591309,30,14,28,1
1441,13,68,35,15,22,0
1441,14,53,25,16,19,0
1445,13,50,27,9,20,2
1450,13,48,30,18,33,1
1455,13,63,39,19,32,0
1465,11,53,31,12,23,5
1470,13,56,32,12,28,0
1485,14,53,33,20,31,1
1490,14,67,37,18,21,1
1505,12,54,27,13,24,0
1506,13,52,30,15,24,3
1510,14,50,28,12.8319997787476,17,5
1515,11,42,28,13,24,0
1520,12,40,25.3129997253418,13,21,1
1525,11,54,34,13,24,2
1526,13,55,35,18,30,1
1526,14,55,26,14,24,3
1530,13,46,30,11,32,1
1535,12,63,31,17,30,0
1540,14,59,34,13,32,3
1545,11,51,36,17,34,1
1550,14,23,30,10,27,4
1560,12,47,27,15,35,2
1561,14,45.3849983215332,30,15,31,0
1570,12,55,36,15,28,2
1575,13,65,39,15,34,1
1580,13,59,40,20,34,0
1585,11,43,27,15,21,3
1590,12,69,36,17,33,0
1595,11,56,35,14,18,7
1600,12,54,36,18,31,3
1605,12,64,31,16,20,2
1610,12,57,27,13,27,0
1615,13,56.048999786377,32.3240013122559,16.8320007324219,30,2
1620,14,69,29,12,31,1
1625,13,42,28,13,15,4
1635,14,62,36,17,32,2
1640,12,64,31,12,29,2
1645,14,54,34,18,21,0
1650,13,37,31,12,29,5
1655,12,73,36,16,26,3
1660,13,50,33,17,34,1
1665,14,72,40,16,35,0
1675,12,56,31,13,31,2
1685,11,59,34,13,34,0
1686,13,60,35,11,31,0
1690,12,49,30,14,34,0
1691,14,73,38,16,32,1
1696,11,55,30,17,25,3
1700,11,49,35.2980003356934,18,36,0
1701,13,45,31,17,23,2
1705,11,49,33,16,29,3
1710,13,62,33,13.8319997787476,25,2
1715,11,65,35,18,32,1
1716,13,67,40,20,36,3
1720,11,43,31,11,29,0
1740,13,59,33,17,27,5
1745,12,41,34,20,25,0
1746,13,45,30,12,19,2
1750,14,64,30,17,32,1
1755,12,51,31,15,30,1
1765,13,48,30,15,24,3
1780,14,61,34,15,27,2
1785,13,54,31,17,32,3
1790,14,30,26,13,22,1
1795,12,27.5470008850098,16.1860008239746,12,25,0
1796,14,46,32,12,23,3
1800,12,39,29,18,23,0
1801,14,46,21,7,14,9
1805,14,52,28,18,26,1
1810,11,50,30,13,22,2
1815,12,73,35,20,27,1
1820,11,61,30,16,35,1
1821,14,73,36,18,25,2
1825,14,45,36,15,23,0
1830,12,49,33,16.8320007324219,31,4
1840,12,69,40,17,35,0
1845,12,51,29,17,36,1
1846,14,67,30,16,36,1
1855,12,52,36,16,31,2
1860,12,57,26,11,20,2
1861,14,67,35,17,27,1
1865,12,48,29,15,28,2
1870,11,60,31,17,35,2
1871,11,52,31,17,28.0049991607666,5
1875,12,29,34,11,25,2
1885,12,44,28,12,23,3
1890,13,65,33,16,32,3
1895,12,57,32,18,31.7360000610352,0
1905,11,72,29,11,27,2
1910,11,51,36,20,29,3
1915,14,30,26,20,29,1
1920,11,70,31,16,27,2
1930,11,63,40,20,36,1
1935,14,47,31,13,23,1
1940,13,72,40,15,35,0
1945,11,55.9879989624023,34,20,29,1
1946,13,60,30,20,20,2
1950,11,46,27,6,18,0
1951,13,57,36,16,30,0
1960,13,38,25,12,25,4
1965,13,50,36,14,29,2
1970,11,50,30,15,25,2
1975,11,49.2560005187988,36,15,30,2
1980,13,75,40,18,24,3
1985,11,35,24,16.6560001373291,30,3
1995,12,38,29,11,24,8
2000,11,55,32,13,28,0
2005,13,55,30,19,34,0
2010,13,47,31.3239994049072,13,32,3
2015,13,52,30,13,25,1
2020,11,60,35,11,28,0
2025,12,62,27,11,15,1
2026,13,40,40,13,23,1
2030,11,51,28,20,29,1
2035,13,44,21,19,30,0
2040,11,73,34,20,35,3
2041,11,70,34.3240013122559,15,33,2
2045,14,50.5970001220703,36,12,22,1
2050,11,21,20,15,36,3
2051,14,53,31,17,29,1
2060,11,56,36,15,19,2
2070,14,47,25,16,24,2
2080,12,53,25,8,18,4
2086,12,70,31,15,34,2
2090,13,49,30,20,27,0
2095,12,57,36,20,26,3
2100,12,69,37,13,32,2
2106,13,41,28,12,22,6
2115,14,48,28,10,20,3
2120,14,50,27,8,22,4
2125,11,65,33,13,29,4
2126,14,54,29,14,25,3
2140,12,68,37,15.8319997787476,31,0
2145,11,47,30,14,32,4
2146,13,35,29,13,22,3
2150,12,52.3110008239746,26,10.8319997787476,23,5
2151,14,41,29,11,33,6
2155,11,45.2560005187988,31,12,25,2
2160,11,63,33,19,24,2
2161,12,68,29,14,25,1
2165,12,51,30,19,30,2
2170,12,44,30,16,34,0
2175,13,63,26,17,30.4869995117188,2
2180,13,53,33,13,30,2
2181,13,63,36,17,28,0
2190,14,51,39,17,36,0
2195,14,56,35,14,29,3
2200,12,57,30,11,28,2
2205,12,48,31,13,24,9
2210,12,60,33,15,34,0
2215,14,59,28,19,32,4
2220,13,55,31,20,29,1
2225,12,33,30,13,22,3
2230,13,52,27,11.4879999160767,21,0
2235,12,39,27,14,16,2
2240,13,61,38,17,30,1
2245,11,55,28,15,31,1
2255,14,58,30,18,32,1
2260,12,44,36,12,17,2
2270,13,32,24,13,33,3
2275,13,41,26,20,23,4
2285,11,47,37,14,33,4
2286,13,29,29,13,34,4
2290,12,55,29,12,29,1
2295,12,63,34,11,35,1
2300,12,58,31,14,23,3
2301,13,62,35,20,33,0
2305,12,46,35,11,25,3
2310,14,48,28,13,26,2
2320,11,73,30,20,36,0
2325,12,49,31,15,34,0
2330,12,58,31,15,27,1
2335,14,61,39,17,32,0
2340,12,45,25,14,20,1
2350,11,61,29,18,10,2
2355,12,23,31,20,33,0
2356,13,36,29,13,23,0
2360,11,65,40,17,33,0
2365,13,59,29,16,23,2
2370,11,54.9879989624023,30,10,24,3
2395,12,52,31,13.8319997787476,8.22799968719482,5
2400,12,62,33,19,27,3
2405,12,30,34,17,20,4
2415,12,44,30,11,26,4
2416,14,53,28,10,26,4
2420,13,29,27,13,21,5
2425,14,41,30,12,16,3
2430,12,74,30,15,33,1
2435,13,59,38,18,31,0
2440,13,64,40,17,36,3
2445,12,63,29,18,25,1
2450,13,56,36,15,33,0
2455,12,30,29,18,17,2
2456,14,35,36,17,22,0
2460,12,62,33,17,26,0
2466,13,49,31,17,27,8
2470,13,42,29,14,23,0
2471,13,45,31,17,27,0
2475,14,53,33,9,22,1
2480,14,37,31,17,27,0
2485,12,57,30,14,21,3
2490,12,58,35,13,36,4
2495,13,63,29,17,27,0
2500,12,61,40,18,31,0
2501,14,53,30,16,28,0
2505,12,61,29,13.6560001373291,32,0
2515,11,49,31,12,27,2
2520,12,58,36,18,27,3
2525,11,51,28,14,25,4
2526,12,47,29,14,30,6
2526,14,39,26,14,19,6
2530,13,50,32,9,33,0
2535,12,64,31,15,25,0
2540,13,33,27,14,18,1
2545,12,70,34,17,32,1
2565,13,67,38,18,27,0
2570,13,58.048999786377,36.3240013122559,14,33,0
2575,11,67,36,15.8319997787476,35,0
2580,13,32,20,10,10,2
2585,11,36,31,12,20,2
2586,13,46,33,13,28,2
2590,11,47,32,16,29,3
2595,13,41,30,14,20,3
2600,13,63,36,20,27,1
2601,13,61,37,17,23,0
2605,14,51.2560005187988,31.3239994049072,13,17,4
2610,11,49,26,14,36,0
2611,12,54,31,16,19,0
2611,14,72,31,14,23,0
2620,13,30,26,10,20,3
2625,14,37,32,14,24,0
2630,13,34,27,14,22,3
2635,11,52,33,11.8319997787476,21,2
2636,12,57,30,14,28,3
2640,13,59,34,20,22,4
2645,14,60.9879989624023,36,15,25,0
2650,11,63,37,14.4879999160767,31,0
2651,13,52,34,17,28,0
2660,11,54,38,19,22,3
2665,11,32,32,12,34,2
2675,11,64,36,9,26,2
2676,12,60,39,17,33,2
2690,12,51,30,12,36,6
2695,12,41,29,11,32,2
2700,12,41,29,12,26.0049991607666,1
2705,14,44,37,20,31,3
2710,14,62,32,9,21,6
2715,14,35,26,14,19,2
2720,11,52.048999786377,36,16,19,4
2725,14,29.2560005187988,26.4829998016357,10,29,4
2730,13,38,28,16,18,3
2735,11,44,33,9.83199977874756,28,5
2736,12,46,30,13,22,5
2740,12,59,34,19,26,6
2745,13,64,32,12,31,0
2746,13,52,31,11,28,0
2750,12,64,23,16,23,0
2755,12,60,29,9,18,0
2760,14,61,36,4.6560001373291,22,2
2765,12,52,34,15,26,1
2770,12,61,29,16,35,2
2775,12,38,38,4,26,2
2780,11,64,32,14,21,3
2785,14,52,35,16,21,2
2790,12,65,27,13,25,2
2800,14,46,30,10,20,2
2810,11,62.048999786377,30,14,27,0
2815,12,35,27,13,25,2
2820,11,52.2560005187988,33,9,22.4869995117188,1
2830,13,54,34,15,24,3
2831,14,44,30,9,25,3
2835,11,44,29.3129997253418,15,25,4
2836,12,35,29,13,20,1
2840,11,72,36,17,35,0
2845,12,52,28,14,30,0
2850,12,18,29,12,27,0
2851,14,51,30,19,25,0
2855,13,56,31,17,31,0
2856,14,64,32,19,32,2
2865,14,54,31,12,25,1
2870,11,58,35,13,35,1
2875,13,48,32,13,29,0
2880,12,64,35,13,28,1
2885,11,70.0640029907227,40,20,36,2
2886,13,54,29,19,20,1
2890,12,46,29,13,24,2
2895,11,44,33,15,26,2
2900,14,60,31,13,27,2
2910,11,58,28,15,22,0
2911,13,48,28,12,31,7
2915,11,54,38,18,35,2
2920,13,32.8969993591309,24,7,24,0
2921,14,64,25.3239994049072,17,28,0
2925,12,60,33,14.8319997787476,20,3
2930,12,58,36,14,31,3
2931,13,44,38,15,25,1
2935,13,40,27,12,31,5
2940,13,57,37,17,25,2
2945,13,70,33,14,29,2
2960,13,65,31,17,25,0
2965,13,53,35,17,32,2
2971,12,58,33,19,30,4
2971,14,64,37,20,29,1
2975,14,59.0639991760254,28,18,27,2
2980,12,41,31,16,24,2
2985,14,30,33,20,24,2
2990,13,23,37,8,11,2
2991,14,42,26,10,17,5
2995,12,65,30,20,27,1
3005,12,68,35,20,35,0
3010,13,59,34,14,24,6
3015,11,68,35.2980003356934,16,30,1
3016,13,57,32,15,25,1
3020,13,59,37,20,29,2
3025,11,29,30,13,28,0
3026,14,60,35,14,28,1
3030,12,31,37,15,27,7
3035,14,70,35,19,32,3
3040,11,55,34,17,29,2
3045,12,58,34,14,30,2
3050,11,55,29,11,24,0
3056,12,47,34,18,26,5
3060,13,55,37,16,27,1
3065,13,48,27,12,25,0
3070,12,31,27,14,24,0
3071,14,68,40,14,27,4
3075,12,30.0639991760254,25,15,18,5
3076,13,43,29,13,24,5
3080,11,44,26,20,24,3
3085,11,53,29.3129997253418,13,24,0
3086,12,67,30,18,30,0
3090,12,40,31,14,21,2
3100,11,63,39,12,25,3
3101,14,73,36,15,25,1
3106,12,27,33.7680015563965,16,26,0
3110,12,27,23,13,25,2
3116,14,60,32,20,28,0
3120,13,40,19,10,18,5
3125,11,46,28,19,26,2
3126,13,61,28,9,27,1
3126,14,58,27,12,24,5
3135,13,36,28,9,23,2
3140,11,31,36,15,30,2
3145,13,55,32,14,25,8
3155,11,61,30,15,28,2
3160,12,60,37,16,30,1
3165,11,54,32,6,23,1
3170,12,47,31,20,30,3
3175,11,56,30,16,28,3
3180,12,63,28.2980003356934,16,31,2
3181,14,69,33,17,31,0
3185,12,68,31,16,26,1
3190,11,55,30,14,28,4
3191,12,50,34.3240013122559,16,31,4
3195,12,53,31,14,28,0
3200,13,42,28,16,17,1
3205,12,34,29,13,26,1
3210,12,48,33,12,23,0
3215,12,70,38,20,34,0
3220,12,26,33,13,19,1
3221,14,46,36,16,22,1
3225,12,58,40,14,29,0
3226,14,70,40,17,29,0
3230,13,53,37.4830017089844,13,27,0
3235,11,63.3110008239746,34,17,32,0
3245,11,55,39,18.6560001373291,32,0
3250,11,48,31,12,31,1
3255,11,63,37,15,32,2
3265,12,42,30.7679996490479,14,32,0
3270,12,65,21,4,27,1
3276,13,56,37,19,30,0
3285,12,63,34,13,28,0
3290,13,41,32,16,24,8
3295,14,40,25,8,17,1
3300,12,44,33,19,26,3
3305,13,52,27,13,25,5
3310,12,66,32,16,26,0
3315,11,58,38,14.4879999160767,34,0
3320,14,67,35,19,32,1
3325,14,73.0490036010742,37,11,35,3
3330,13,51,31,17,28,4
3335,11,37,32,14,10,2
3336,13,49,27,14,25,2
3336,13,43,34,12,32,3
3340,11,47,28,12.6560001373291,31,2
3345,11,47,32,13,30,1
3346,12,47,35,11,14,1
3355,13,58,37,17,22,0
3356,14,43,33,16,27,0
